Levels	LrgvsSml	BAFvsMPFpcr	BCFvsMPFpcr 	BAFvsMPFext	MPFextvsMPFcom	EAvsEB	BAEvsMPEext	BCEvsMPEext	PXvsPY	BAPvsMPPpcr	BCPvsMPPpcr
N.Lrg.Ea.MPPpcr	1	0	0	0	0	1	0.5	0	0	0	0
N.Lrg.Eb.MPPpcr	1	0	0	0	0	-1	0.5	0	0	0	0
N.MPFpcr.MPEext.Pool8	0	0	0	0	0	0	-1	-1	0	0	0
N.Sml.Ea.MPPpcr	-1	0	0	0	0	1	0.5	0	0	0	0
N.Sml.Eb.MPPpcr	-1	0	0	0	0	-1	0.5	0	0	0	0
Y.BCF.Pool.Pool	0	0	1	0	0	0	0	0	0	0	0
Y.Lrg.Ea.MPPpcr	1	0.5	0	0.5	0	1	0.5	0	0	-1	-1
Y.Lrg.Ea.Px	0	0	0	0	0	0	0	0	1	0.5	0
Y.Lrg.Ea.Py	0	0	0	0	0	0	0	0	-1	0.5	0
Y.Lrg.Eb.MPPpcr	1	0.5	0	0.5	0	-1	0.5	0	0	0	0
Y.MPFcom.Ea.MPPpcr	0	0	0	0	-1	1	0	0	0	-1	-1
Y.MPFcom.Ea.Px	0	0	0	0	0	0	0	0	1	0.5	0
Y.MPFcom.Ea.Py	0	0	0	0	0	0	0	0	-1	0.5	0
Y.MPFcom.Eb.MPPpcr	0	0	0	0	-1	-1	0	0	0	-1	-1
Y.MPFcom.Eb.Px	0	0	0	0	0	0	0	0	1	0.5	0
Y.MPFcom.Eb.Py	0	0	0	0	0	0	0	0	-1	0.5	0
Y.MPFext.Ea.MPPpcr	0	0	0	-1	1	1	0	0	0	0	0
Y.MPFext.Eb.MPPpcr	0	0	0	-1	1	-1	0	0	0	0	0
Y.MPFpcr.MPEext.Pool8	0	-1	-1	0	0	0	-1	-1	0	0	0
Y.Pool.BCE.Pool	0	0	0	0	0	0	0	1	0	0	0
Y.Pool.Pool.BCP	0	0	0	0	0	0	0	0	0	0	1
Y.Sml.Ea.MPPpcr	-1	0.5	0	0.5	0	1	0.5	0	0	-1	-1
Y.Sml.Ea.Px	0	0	0	0	0	0	0	0	1	0.5	0
Y.Sml.Ea.Py	0	0	0	0	0	0	0	0	-1	0.5	0
Y.Sml.Eb.MPPpcr	-1	0.5	0	0.5	0	-1	0.5	0	0	0	0