Sample_ID,Smp,Design,Complete,Fraction,Ext,PCR,SF,BCF,BCE,BCP
MTB05,5,Y,N,MPFpcr,MPEext,Pool8,5.MPFpcr,,,
MTB05-A-01-PP,5,Y,N,Lrg,Ea,MPPpcr,5.Lrg,,BCE,
MTB05-A-02-PP,5,Y,N,Lrg,Eb,MPPpcr,5.Lrg,,BCE,
MTB05-B-01-PP,5,Y,N,Sml,Ea,MPPpcr,5.Sml,,BCE,
MTB05-B-02-PP,5,Y,N,Sml,Eb,MPPpcr,5.Sml,,BCE,
MTB09,9,Y,Y,MPFpcr,MPEext,Pool8,9.MPFpcr,,,
MTB09-A-01-P1,9,Y,Y,Lrg,Ea,Px,9.Lrg,,,BCP
MTB09-A-01-P2,9,Y,Y,Lrg,Ea,Py,9.Lrg,,,BCP
MTB09-A-01-PP,9,Y,Y,Lrg,Ea,MPPpcr,9.Lrg,BCF,BCE,
MTB09-A-02-PP,9,Y,Y,Lrg,Eb,MPPpcr,9.Lrg,BCF,BCE,
MTB09-AB-01-PP,9,Y,Y,MPFext,Ea,MPPpcr,9.MPFext,,,
MTB09-AB-02-PP,9,Y,Y,MPFext,Eb,MPPpcr,9.MPFext,,,
MTB09-B-01-P1,9,Y,Y,Sml,Ea,Px,9.Sml,,,BCP
MTB09-B-01-P2,9,Y,Y,Sml,Ea,Py,9.Sml,,,BCP
MTB09-B-01-PP,9,Y,Y,Sml,Ea,MPPpcr,9.Sml,BCF,BCE,
MTB09-B-02-PP,9,Y,Y,Sml,Eb,MPPpcr,9.Sml,BCF,BCE,
MTB09-NS-01-P1,9,Y,Y,MPFcom,Ea,Px,9.MPFcom,,,BCP
MTB09-NS-01-P2,9,Y,Y,MPFcom,Ea,Py,9.MPFcom,,,BCP
MTB09-NS-01-PP,9,Y,Y,MPFcom,Ea,MPPpcr,9.MPFcom,,,
MTB09-NS-02-PP,9,Y,Y,MPFcom,Eb,MPPpcr,9.MPFcom,,,
MTB11,11,Y,Y,MPFpcr,MPEext,Pool8,11.MPFpcr,,,
MTB11-A-01-PP,11,Y,Y,Lrg,Ea,MPPpcr,11.Lrg,BCF,BCE,
MTB11-A-02-PP,11,Y,Y,Lrg,Eb,MPPpcr,11.Lrg,BCF,BCE,
MTB11-AB-01-PP,11,Y,Y,MPFext,Ea,MPPpcr,11.MPFext,,,
MTB11-AB-02-PP,11,Y,Y,MPFext,Eb,MPPpcr,11.MPFext,,,
MTB11-B-01-PP,11,Y,Y,Sml,Ea,MPPpcr,11.Sml,BCF,BCE,
MTB11-B-02-PP,11,Y,Y,Sml,Eb,MPPpcr,11.Sml,BCF,BCE,
MTB11-NS-01-PP,11,Y,Y,MPFcom,Ea,MPPpcr,11.MPFcom,,,
MTB11-NS-02-PP,11,Y,Y,MPFcom,Eb,MPPpcr,11.MPFcom,,,
MTB14,14,Y,N,MPFpcr,MPEext,Pool8,14.MPFpcr,,,
MTB14-A-01-PP,14,Y,N,Lrg,Ea,MPPpcr,14.Lrg,,BCE,
MTB14-A-02-PP,14,Y,N,Lrg,Eb,MPPpcr,14.Lrg,,BCE,
MTB14-B-01-PP,14,Y,N,Sml,Ea,MPPpcr,14.Sml,,BCE,
MTB14-B-02-PP,14,Y,N,Sml,Eb,MPPpcr,14.Sml,,BCE,
MTB20,20,Y,N,MPFpcr,MPEext,Pool8,20.MPFpcr,,,
MTB20-A-01-PP,20,Y,N,Lrg,Ea,MPPpcr,20.Lrg,,BCE,
MTB20-A-02-PP,20,Y,N,Lrg,Eb,MPPpcr,20.Lrg,,BCE,
MTB20-B-01-PP,20,Y,N,Sml,Ea,MPPpcr,20.Sml,,BCE,
MTB20-B-02-PP,20,Y,N,Sml,Eb,MPPpcr,20.Sml,,BCE,
MTB21,21,Y,Y,MPFpcr,MPEext,Pool8,21.MPFpcr,,,
MTB21-A-01-P1,21,Y,Y,Lrg,Ea,Px,21.Lrg,,,BCP
MTB21-A-01-P2,21,Y,Y,Lrg,Ea,Py,21.Lrg,,,BCP
MTB21-A-01-PP,21,Y,Y,Lrg,Ea,MPPpcr,21.Lrg,BCF,BCE,
MTB21-A-02-PP,21,Y,Y,Lrg,Eb,MPPpcr,21.Lrg,BCF,BCE,
MTB21-AB-01-PP,21,Y,Y,MPFext,Ea,MPPpcr,21.MPFext,,,
MTB21-AB-02-PP,21,Y,Y,MPFext,Eb,MPPpcr,21.MPFext,,,
MTB21-B-01-P1,21,Y,Y,Sml,Ea,Px,21.Sml,,,BCP
MTB21-B-01-P2,21,Y,Y,Sml,Ea,Py,21.Sml,,,BCP
MTB21-B-01-PP,21,Y,Y,Sml,Ea,MPPpcr,21.Sml,BCF,BCE,
MTB21-B-02-PP,21,Y,Y,Sml,Eb,MPPpcr,21.Sml,BCF,BCE,
MTB21-NS-01-PP,21,Y,Y,MPFcom,Ea,MPPpcr,21.MPFcom,,,
MTB21-NS-02-P1,21,Y,Y,MPFcom,Eb,Px,21.MPFcom,,,BCP
MTB21-NS-02-P2,21,Y,Y,MPFcom,Eb,Py,21.MPFcom,,,BCP
MTB21-NS-02-PP,21,Y,Y,MPFcom,Eb,MPPpcr,21.MPFcom,,,
MTB27,27,Y,N,MPFpcr,MPEext,Pool8,27.MPFpcr,,,
MTB27-A-01-PP,27,Y,N,Lrg,Ea,MPPpcr,27.Lrg,,BCE,
MTB27-A-02-PP,27,Y,N,Lrg,Eb,MPPpcr,27.Lrg,,BCE,
MTB27-B-01-PP,27,Y,N,Sml,Ea,MPPpcr,27.Sml,,BCE,
MTB27-B-02-PP,27,Y,N,Sml,Eb,MPPpcr,27.Sml,,BCE,
MTB30,30,Y,N,MPFpcr,MPEext,Pool8,30.MPFpcr,,,
MTB30-A-01-PP,30,Y,N,Lrg,Ea,MPPpcr,30.Lrg,,BCE,
MTB30-A-02-PP,30,Y,N,Lrg,Eb,MPPpcr,30.Lrg,,BCE,
MTB30-B-01-PP,30,Y,N,Sml,Ea,MPPpcr,30.Sml,,BCE,
MTB30-B-02-PP,30,Y,N,Sml,Eb,MPPpcr,30.Sml,,BCE,